# %ECSV 0.9
# ---
# datatype:
# - {name: _idx, datatype: int64}
# - {name: area_pc2, unit: pc2, datatype: float64, description: projected area of structure}
# - {name: rad_pc, unit: pc, datatype: float64, description: equivalent radius in pc}
# - {name: e_rad_pc, datatype: float64, description: frac error in radius}
# - {name: vrms_k, unit: km / s, datatype: float64, description: rms linewidth in km/s}
# - {name: e_vrms_k, datatype: float64, description: frac error in linewidth}
# - {name: axratio, unit: '', datatype: float64, description: minor to major axis ratio}
# - {name: e_axratio, datatype: float64, description: frac error in axis ratio}
# - {name: mlumco, unit: solMass, datatype: float64, description: Mass from scaling luminosity with alphascale=1}
# - {name: e_mlumco, datatype: float64, description: frac error in luminous mass}
# - {name: siglum, unit: solMass / pc2, datatype: float64, description: average surface density from mlumco}
# - {name: e_siglum, datatype: float64, description: same as e_mlumco}
# - {name: mvir, unit: solMass, datatype: float64, description: virial mass}
# - {name: e_mvir, unit: solMass, datatype: float64, description: frac error in virial mass}
# - {name: emvir, unit: solMass, datatype: float64, description: elliptical virial mass}
# - {name: e_emvir, datatype: float64, description: frac error in elliptical virial mass}
# - {name: sigvir, unit: solMass / pc2, datatype: float64, description: virial surface density}
# - {name: e_sigvir, unit: solMass, datatype: float64, description: same as e_mvir}
# - {name: sigevir, unit: solMass / pc2, datatype: float64, description: ell. virial surface density}
# - {name: e_sigevir, unit: solMass, datatype: float64, description: same as e_mvir}
# - {name: alpha, unit: '', datatype: float64, description: virial parameter}
# - {name: e_alpha, datatype: float64, description: frac error in virial parameter}
# - {name: halfmax_ell_maj, unit: pix, datatype: float64}
# - {name: halfmax_ell_min, unit: pix, datatype: float64}
# - {name: halfmax_ell_pa, unit: rad, datatype: float64}
# - {name: mlte, unit: solMass, datatype: float64, description: LTE mass using H2/13CO=1000000.0}
# - {name: e_mlte, unit: solMass, datatype: float64, description: LTE mass uncert.}
# schema: astropy-2.0
_idx area_pc2 rad_pc e_rad_pc vrms_k e_vrms_k axratio e_axratio mlumco e_mlumco siglum e_siglum mvir e_mvir emvir e_emvir sigvir e_sigvir sigevir e_sigevir alpha e_alpha halfmax_ell_maj halfmax_ell_min halfmax_ell_pa mlte e_mlte
0 6.7881688669246865 1.3854142045030646 0.0021113458362118673 0.6623201568508166 0.0026953204721031384 0.38204750596938547 0.004789303077591821 142.09260363495972 0.0022197809353388513 20.932390814156836 0.0022197809353388513 706.5200589567189 1710.2535451614258 1710.2535451614258 0.008991590641770785 104.08109650884406 1710.2535451614258 251.94622860586546 1710.2535451614258 4.972250777892639 0.0076093840855187295 393.5058727038687 147.72033734107043 147.72033734107043 3172.4002627767472 0.21270880541597992
1 6.675292328069402 1.3813709640619518 0.002174406460971725 0.6604039626217078 0.0025285036136224585 0.38244537988896826 0.004850289257234657 140.80765238422424 0.0019873363282860664 21.093855589234998 0.0019873363282860664 700.3878113510946 1693.6429317069608 1693.6429317069608 0.007654005130031869 104.9224179150904 1693.6429317069608 253.71816670638432 1693.6429317069608 4.97407491348506 0.006396547809141533 389.41009040286855 141.632656829439 141.632656829439 3155.5384990271764 0.21054972118455156
2 0.02923267641431748 0.07851572221717108 0.04034615875889624 0.4735884289064804 0.05666077434470663 0.6430041269554919 0.07914159371733791 0.2481781632169266 0.026135622520472763 8.48975166349718 0.026135622520472763 20.47235062539501 30.100376817798544 30.100376817798544 0.17503964871480981 700.3241966366149 30.100376817798544 1029.6825508271315 30.100376817798544 82.49053969950054 0.15317171988019743 19.973031983357284 9.750477965324608 9.750477965324608 4.1137313275816485 0.009880008233200668
3 0.6860076983359906 0.43272884887890517 0.007896474286692731 0.38378510966146234 0.009978642317921537 0.6430497469956478 0.014760273889562444 4.209788418014488 0.004962838034612122 6.13664894464877 0.004962838034612122 74.09706508797844 108.93742741442406 108.93742741442406 0.023453358777122988 108.01200229634655 108.93742741442406 158.7991325442372 108.93742741442406 17.60113757045436 0.026004824105705277 84.272701760346 57.267848444760844 57.267848444760844 56.471954481996974 0.03963485238172082
4 0.0049076756024036645 0.03164756132928667 0.1472216308276634 0.15185618944161522 0.189696459681633 0.48429671443967404 0.29990985819221555 0.014187276611346543 0.0354178275015289 2.890834227999493 0.0354178275015289 0.8484263758048505 1.627091855466302 1.627091855466302 0.6357678761089843 172.87743619185244 1.627091855466302 331.5402213360212 1.627091855466302 59.801919638777285 0.4757343967357784 7.78176044874005 3.9270243198134356 3.9270243198134356 0.18464192100621876 0.0020947393632963916
5 0.044595834821842 0.10942596218132414 0.04214670902645174 0.3547837281244867 0.04919766693158907 0.5215678743286329 0.0888931481639357 0.15531721058344988 0.015128777041914579 3.48277392280992 0.015128777041914579 16.01240903860131 28.607737612282946 28.607737612282946 0.1679627918868511 359.0561563107863 28.607737612282946 641.4890028759265 28.607737612282946 103.09487904431592 0.13884286831028683 19.254412937832548 11.719428725022683 11.719428725022683 2.5264431208748093 0.008825181719329198
6 0.0712679848349054 0.13557746250649885 0.026084059325819003 0.43029033333409866 0.03519840472711293 0.5224364873303514 0.04461051713978483 0.298813458239631 0.010731778178451484 4.19281475310186 0.010731778178451484 29.182305255213844 52.05477234757275 52.05477234757275 0.0912735826371048 409.47285548785476 52.05477234757275 730.4089272084698 52.05477234757275 97.6606121663079 0.08170911987021126 30.645372691388747 14.450432768045799 14.450432768045799 4.893271429698022 0.013119826630477836
7 0.41757918060452054 0.36462441831084386 0.010346832966460946 0.34951645489034117 0.013650883065849872 0.5934479217094079 0.022529145203577818 2.669124882831463 0.0052783480218359016 6.391901241262621 0.0052783480218359016 51.783323245944324 81.96392870156396 81.96392870156396 0.03435361963130721 124.00839326083907 81.96392870156396 196.28356131861392 81.96392870156396 19.40086190010394 0.03050989393057093 72.8551941324267 46.45664495198457 46.45664495198457 36.504667573875295 0.027517482582090868
8 0.5063440958479956 0.39428719266260476 0.008947872240339447 0.3526929405810401 0.01218615912819186 0.5682244812384663 0.015489506186219667 3.1898207202559132 0.004998806795213744 6.299709518511888 0.004998806795213744 57.01841229589743 93.97213453750199 93.97213453750199 0.02575876000943776 112.60803229157105 93.97213453750199 185.58947424897477 93.97213453750199 17.875115028822982 0.029875230088214112 79.95936039864377 49.74638167872813 49.74638167872813 43.58358782994411 0.032642052534372135
9 0.30961031735163996 0.34056080349600315 0.012046001157333017 0.32834285142204417 0.018096458185359297 0.5478590882080664 0.029010146473044396 1.8821243400415868 0.005031726293082364 6.079010402951022 0.005031726293082364 42.6833706876167 72.7952227114039 72.7952227114039 0.03962454537915426 137.86159018447393 72.7952227114039 235.1188530604641 72.7952227114039 22.678294828636872 0.0388561897301694 61.46945627514238 35.20233213049754 35.20233213049754 26.139257660368976 0.021759094570370407
